Symbol,ISIN,Company Name,Board,Delisted Date,Type
ORGINFO,INE686D01012,ORG Informatics Limited,Main Board,2017-09-15,Compulsory Delisting
SB&TINTL,INE465B01015,SB&T International Limited,Main Board,2017-09-15,Compulsory Delisting
PADMALAYAT,INE243B01016,Padmalaya Telefilms Limited,Main Board,2017-09-25,Voluntary Delisting
MOHINI,INE450S01011,Mohini Health & Hygiene Limited,ITP,2017-10-25,Exit from ITP platform
PEPL,INE843A01023,Pearl Engineering Polymers Limited,Main Board,2018-02-26,Compulsory Delisting
ISPATPROF,INE798A01011,Ispat Profile (I) Limited ,Main Board,2018-02-26,Delisting - Liquidation
MAARSOFTW,INE390A01017,Maars Software International Limited,Main Board,2018-03-26,Compulsory Delisting
"EMTEXIND
",INE907B01016,Emtex Industries ( India ) Limited,Main Board,2018-03-26,Compulsory Delisting
KLGSYSTEL,INE799A01019,KLG Systel Limited,Main Board,2018-04-24,Compulsory Delisting
CAPCO,INE012T01017,Capco Industries Limited,ITP,2018-05-07,Exit from ITP platform
BPLSANUTIL,INE312A01011,B S Appliances Limited ,Main Board,2018-05-22,Compulsory Delisting
SAITELE,INE294C01017,Sai Television Limited ,Main Board,2018-05-22,Compulsory Delisting
AGRODUTCH ,INE135B01014,Agro Dutch Industries Limited,Main Board,2018-05-30,Compulsory Delisting
BROADCAST,INE698H01018,Broadcast Initiatives Limited,Main Board,2018-05-30,Compulsory Delisting
CRESTANI,INE774A01012,Crest Animation Studios Limited,Main Board,2018-05-30,Compulsory Delisting
KOPDRUGS,INE746A01010,KDL Biotech Limited,Main Board,2018-05-30,Compulsory Delisting
KEMROCK,INE990B01012,Kemrock Industries and Exports Limited,Main Board,2018-05-30,Compulsory Delisting
KFA,INE438H01019,Kingfisher Airlines Limited,Main Board,2018-05-30,Compulsory Delisting
NCOPPER,INE846H01039,Nissan Copper Limited,Main Board,2018-05-30,Compulsory Delisting
PLETHICO,INE491H01018,Plethico Pharmaceuticals Limited,Main Board,2018-05-30,Compulsory Delisting
SHRIASTER,INE900K01012,Shri Aster Silicates Limited,Main Board,2018-05-30,Compulsory Delisting
SURYAPHARM,INE249G01020,Surya Pharmaceuticals Limited,Main Board,2018-05-30,Compulsory Delisting
LUMAXAUTO,INE547G01019,Lumax Automotive Systems Limited,Main Board,2018-05-30,Delisting - Liquidation
BRANDHOUSE,INE317J01011,Brandhouse Retails Limited,Main Board,2018-05-30,Delisting - Liquidation
ELDERPHARM,INE975A01015,Elder Pharmaceuticals Limited,Main Board,2018-05-30,Delisting - Liquidation
FIRSTLEASE,INE492B01019,First Leasing Company India Limited,Main Board,2018-05-30,Delisting - Liquidation
GLODYNE,INE932G01021,Glodyne Technoserve Limited,Main Board,2018-05-30,Delisting - Liquidation
HELIOSMATH,INE674B01012,Helios and Matheson Information Technology Limited,Main Board,2018-05-30,Delisting - Liquidation
TULIP,INE122H01027,Tulip Telecom Limited,Main Board,2018-05-30,Delisting - Liquidation
VARUN,INE032G01012,Varun Industries Limited,Main Board,2018-05-30,Delisting - Liquidation
NEO,INE471R01019,Neopolitan Pizza Limited,ITP,2018-06-14,Exit from ITP platform
FROGCELL,INE385O01018,Frog Cellsat Limited,ITP,2018-06-20,Exit from ITP platform
AQUA,INE544K01026,Aqua Logistics Limited,Main Board,2018-07-02,Delisting - Liquidation
ASIANELEC,INE441A01026,Asian Electronics Limited,Main Board,2018-07-02,Delisting - Liquidation
BIRLAPOWER,INE224B01024,Birla Power Solutions Limited,Main Board,2018-07-02,Delisting - Liquidation
CLASSIC,INE987C01024,Classic Diamonds (India) Limited,Main Board,2018-07-02,Delisting - Liquidation
CLUTCHAUTO,INE779B01019,Clutch Auto Limited,Main Board,2018-07-02,Delisting - Liquidation
COREEDUTEC,INE247G01024,Core Education & Technologies Limited,Main Board,2018-07-02,Delisting - Liquidation
DRDATSONS,INE928K01013,Dr. Datson's Labs Limited,Main Board,2018-07-02,Delisting - Liquidation
EDSERV,INE889J01019,Edserv Softsystems Limited,Main Board,2018-07-02,Delisting - Liquidation
EVERONN,INE678H01010,Everonn Education Limited,Main Board,2018-07-02,Delisting - Liquidation
GLORY,INE408H01012,Glory Polyfilms Limited,Main Board,2018-07-02,Delisting - Liquidation
GTOFFSHORE,INE892H01017,GOL Offshore Limited,Main Board,2018-07-02,Delisting - Liquidation
INNOIND,INE549I01011,Innoventive Industries Limited,Main Board,2018-07-02,Delisting - Liquidation
JCTEL,INE264B01020,JCT Electronics Limited,Main Board,2018-07-02,Delisting - Liquidation
LLOYDFIN,INE174A01015,Lloyds Finance Limited,Main Board,2018-07-02,Delisting - Liquidation
MICROTECH,INE358B01012,Micro Technologies (India) Limited,Main Board,2018-07-02,Delisting - Liquidation
PARAPRINT,INE702L01010,Paramount Printpackaging Limited,Main Board,2018-07-02,Delisting - Liquidation
SHREEASHTA,INE538H01024,Shree Ashtavinayak Cine Vision Limited,Main Board,2018-07-02,Delisting - Liquidation
SVOGL,INE756B01017,SVOGL Oil Gas & Energy Limited,Main Board,2018-07-02,Delisting - Liquidation
TIMBOR,INE346L01016,Timbor Home Limited,Main Board,2018-07-02,Delisting - Liquidation
TRICOM,INE771B01032,Tricom India Limited,Main Board,2018-07-02,Delisting - Liquidation
TWILITAKA,INE783B01029,Twilight Litaka Pharma Limited,Main Board,2018-07-02,Delisting - Liquidation
UBENGG,INE328C01013,UB Engineering Limited,Main Board,2018-07-02,Delisting - Liquidation
ZENITHINFO,INE899A01017,Zenith Infotech Limited,Main Board,2018-07-02,Delisting - Liquidation
POLARIS,INE763A01023,Polaris Consulting & Services Limited,Main Board,2018-08-01,Voluntary Delisting
ACROPETAL,INE055L01013,Acropetal Technologies Limited,Main Board,2018-08-08,Compulsory Delisting
AFTEK,INE796A01023,Aftek Limited,Main Board,2018-08-08,Compulsory Delisting
ARVINDREM,INE211C01037,Arvind Remedies Limited,Main Board,2018-08-08,Compulsory Delisting
CMAHENDRA,INE378J01013,C Mahendra Exports Limited,Main Board,2018-08-08,Compulsory Delisting
GEINDSYS,INE599B01011,Gei Industrial Systems Limited,Main Board,2018-08-08,Compulsory Delisting
HINDEVELOP,INE168501018,Hindustan Development Corporation Limited,Main Board,2018-08-08,Compulsory Delisting
KNDENGTECH,INE122801017,KND Engineering Technologies Limited,Main Board,2018-08-08,Compulsory Delisting
MURLIIND,INE806B01028,Murli Industries Limited,Main Board,2018-08-08,Compulsory Delisting
NEPCMICON,INE588A01016,NEPC India Limited,Main Board,2018-08-08,Compulsory Delisting
NRC,INE953C01018,NRC Limited,Main Board,2018-08-08,Compulsory Delisting
ORBITCORP,INE628H01015,Orbit Corporation Limited,Main Board,2018-08-08,Compulsory Delisting
PARAL,INE620C01013,Parekh Aluminex Limited,Main Board,2018-08-08,Compulsory Delisting
SGJHL,INE553K01019,Shree Ganesh Jewellery House (I) Limited,Main Board,2018-08-08,Compulsory Delisting
SHRENUJ,INE633A01028,Shrenuj & Company Limited,Main Board,2018-08-08,Compulsory Delisting
SPECTACLE,INE409H01028,Spectacle Ventures Ltd,Main Board,2018-08-08,Compulsory Delisting
SUPERFORGE,INE661A01011,Super Forgings & Steels Limited,Main Board,2018-08-08,Compulsory Delisting
SURYAJYOTI,INE411C01017,Suryajyoti Spinning Mills Limited,Main Board,2018-08-08,Compulsory Delisting
TECPRO,INE904H01010,Tecpro Systems Limited,Main Board,2018-08-08,Compulsory Delisting
VATSMUSC,INE816A01029,Vatsa Music Limited,Main Board,2018-08-08,Compulsory Delisting
OMNITECH,INE810H01019,Omnitech Infosolutions Limited,Main Board,2018-08-08,Delisting - Liquidation
KARUNACAB,INE774B01028,Karuna Cables Limited,Main Board,2018-08-08,Voluntary Delisting
CRANESSOFT,INE234B01023,Cranes Software International Limited,Main Board,2018-08-08,Voluntary Delisting
DUNCANSLTD,INE508A01022,Duncans Industries Limited,Main Board,2018-09-11,Compulsory Delisting
MALWACOTT,INE272B01015,Malwa Cotton Spg. Mills Limited,Main Board,2018-09-11,Compulsory Delisting
NET4,INE553E01012,Net 4 India Limited,Main Board,2018-09-11,Compulsory Delisting
NETVISTAIT,INE738A01017,Netvista Information Technology Ltd,Main Board,2018-09-11,Compulsory Delisting
PRITHVI,INE700C01013,Prithvi Information Solutions Limited,Main Board,2018-09-11,Compulsory Delisting
REISIXTEN,INE849J01021,REI Six Ten Retail Limited,Main Board,2018-09-11,Compulsory Delisting
SOFTTECHGR,INE863A01013,Software Technology Group International Limited,Main Board,2018-09-11,Compulsory Delisting
SUDAR,INE384L01017,Sudar Industries Limited,Main Board,2018-09-11,Compulsory Delisting
VATSALTD,INE522B01021,Vatsa Corporations Ltd,Main Board,2018-09-11,Compulsory Delisting
VKSPL,INE213M01024,VKS Projects Limited,Main Board,2018-09-11,Compulsory Delisting
DECOLIGHT,INE172I01012,Decolight Ceramics Limited,Main Board,2018-09-11,Delisting - Liquidation
GEODESIC,INE371D01029,Geodesic Limited,Main Board,2018-09-11,Delisting - Liquidation
REIAGROLTD,INE385B01031,Rei Agro Limited,Main Board,2018-09-11,Delisting - Liquidation
UBHOLDINGS,INE696A01025,United Breweries (Holdings) Limited,Main Board,2018-09-11,Delisting - Liquidation
AICHAMP,INE768E01024,AI Champdany Industries Limited,Main Board,2018-10-17,Voluntary Delisting
QVC,INE899Q01013,QVC Realty Co. Limited,ITP,2018-12-13,Exit from ITP platform
ELECTROSL,INE481K01021,ELECTROSTEEL STEELS LIMITED,Main Board,2018-12-20,Voluntary Delisting
INFINITE,INE486J01014,Infinite Computer Solutions (India) Limited,Main Board,2018-12-21,Voluntary Delisting
VITALCOMM,INE377B01012,Vital Communications Limited,Main Board,2018-12-27,Compulsory Delisting
JENSONICOL,INE819B01021,Jenson & Nicholson (lndia) Limited ,Main Board,2019-02-13,Delisting - Liquidation
SIRPAPER,INE202C01010,The Sirpur Paper Mills Limited,Main Board,2019-03-19,Voluntary Delisting
SALORAINTL,INE924A01013,Salora International Limited,Main Board,2019-04-25,Voluntary Delisting
ECEIND,INE588B01014,ECE Industries Limited,Main Board,2019-05-17,Voluntary Delisting
RAMGOPOLY,INE410D01017,Ramgopal Polytex Limited,Main Board,2019-07-25,Voluntary Delisting
KITPLYIND,INE147B01019,Kitply Industries Limited ,Main Board,2019-08-20,Voluntary Delisting
ELAND,INE311H01018,E-Land Apparel Limited,Main Board,2019-10-01,Voluntary Delisting
AMAR,INE787G01011,Amar Remedies Limited,Main Board,2019-10-17,Delisting - Liquidation
SUPREMETEX,INE651G01027,Supreme Tex Mart Limited,Main Board,2019-10-17,Delisting - Liquidation
SAMTEL,INE381A01016,Samtel Color Limited,Main Board,2019-10-17,Delisting - Liquidation
HINDDORROL,INE551A01022,Hindustan Dorr-Oliver Limited,Main Board,2019-10-17,Delisting - Liquidation
SERVALL,INE431L01016,Servalakshmi Paper Limited,Main Board,2019-10-17,Delisting - Liquidation
LML,INE862A01015,LML Limited,Main Board,2019-10-17,Delisting - Liquidation
HANUNG,INE648H01013,Hanung Toys and Textiles Limited,Main Board,2019-10-17,Delisting - Liquidation
MOSERBAER,INE739A01015,Moser-Baer (I) Limited,Main Board,2019-10-17,Delisting - Liquidation
LITL,INE785C01048,Lanco Infratech Limited,Main Board,2019-10-17,Delisting - Liquidation
NITESHEST,INE639K01016,NEL Holdings Limited,Main Board,2019-11-07,Voluntary Delisting
KAWIRES,INE372S01017,K A Wires Limited,ITP,2019-12-27,Exit from ITP platform
KESARENT,INE133B01019,Kesar Enterprises Limited,Main Board,2020-01-07,Voluntary Delisting
KTIL,INE096L01025,Kesar Terminals & Infrastructure Limited,Main Board,2020-01-07,Voluntary Delisting
ASSAMCO,INE442A01024,Assam Company India Limited,Main Board,2020-01-20,Voluntary Delisting
RAJASPETRO,INE257501010,Rajasthan Petro Synthetics Limited,Main Board,2020-02-13,Voluntary Delisting
ENTEGRA,INE826A01028,Entegra Limited,Main Board,2020-03-02,Compulsory Delisting
ABGSHIP,INE067H01016,ABG Shipyard Limited,Main Board,2020-03-02,Delisting - Liquidation
GEMINI,INE878C01033,Gemini Communication Limited,Main Board,2020-03-02,Delisting - Liquidation
SHILPI,INE510K01019,Shilpi Cable Technologies Limited,Main Board,2020-03-02,Delisting - Liquidation
SURANAIND,INE659D01019,Surana Industries Limited,Main Board,2020-03-02,Delisting - Liquidation
TODAYS,INE944B01019,Todays Writing Instruments Limited,Main Board,2020-03-02,Delisting - Liquidation
USHERAGRO,INE235G01011,Usher Agro Limited,Main Board,2020-03-02,Delisting - Liquidation
PRASGLOFIN,INE463201017,Silicon Valley Infotech Limited,Main Board,2020-03-17,Voluntary Delisting
FIRSTWIN,INE315J01015,First Winner Industries Limited,Main Board,2020-07-10,Compulsory Delisting
PANORAMUNI,INE194B01029,Panoramic Universal Limited,Main Board,2020-07-10,Compulsory Delisting
FARMAXIND,INE890I01035,Farmax India Limited,Main Board,2020-07-10,Compulsory Delisting
ANGIND,INE017D01010,ANG Industries Limited,Main Board,2020-07-10,Delisting - Liquidation
NICCO,INE241C01026,Nicco Corporation Limited,Main Board,2020-07-10,Delisting - Liquidation
RASOYPR,INE904G01038,Rasoya Proteins Limited,Main Board,2020-07-10,Delisting - Liquidation
EDL,INE180G01019,Empee Distilleries Limited,Main Board,2020-07-24,Voluntary Delisting
AVENTUS,INE587S01010,Aventus Buildcon Limited,ITP,2020-08-04,Exit from ITP platform
HEXAWARE,INE093A01033,Hexaware Technologies Limited,Main Board,2020-11-09,Voluntary Delisting
ADHUNIK,INE400H01019,Adhunik Metaliks Limited,Main Board,2020-11-17,Voluntary Delisting
UVSL,INE292A01023,Uttam Value Steels Limited,Main Board,2020-12-01,Voluntary Delisting
LAKSHVILAS,INE694C01018,Lakshmi Vilas Bank Limited,Main Board,2020-12-18,"Pursuant to gazette notification dated November 25, 2020 issued by Department of Financial Services, Ministry of Finance."
GARDENSILK,INE526A01016,Garden Silk Mills Limited,Main Board,2021-02-08,Voluntary Delisting
BILPOWER,INE952D01018,Bilpower Limited,Main Board,2021-02-24,Compulsory Delisting
POCHIRAJU,INE332G01032,Pochiraju Industries Limited,Main Board,2021-02-24,Compulsory Delisting
SGFL,INE883G01018,Shree Ganesh Forgings Limited,Main Board,2021-02-24,Compulsory Delisting
VIJSHAN,INE806F01011,Vijay Shanthi Builders Limited,Main Board,2021-02-24,Compulsory Delisting
NARMADASUG,INE209601017,Girdharilal Sugar and Allied Industries Ltd,Main Board,2021-02-24,Compulsory Delisting
ZYLOG,INE225I01026,Zylog Systems Limited,Main Board,2021-02-24,Delisting - Liquidation
SURANACORP,INE357D01010,Surana Corporation Limited,Main Board,2021-02-24,Delisting - Liquidation
BSLIMITED,INE043K01029,BS Limited,Main Board,2021-02-24,Delisting - Liquidation
SKUMARSYNF,INE772A01016,S. Kumars Nationwide Limited,Main Board,2021-02-24,Delisting - Liquidation
SUNILHITEC,INE305H01028,Sunil Hitech Engineers Limited,Main Board,2021-02-24,Delisting - Liquidation
TARAJEWELS,INE799L01016,Tara Jewels Limited,Main Board,2021-02-24,Delisting - Liquidation
KHAITANELE,INE761A01019,Khaitan Electricals Limited,Main Board,2021-02-24,Delisting - Liquidation
PROVOGE,INE968G01033,Provogue (India) Limited,Main Board,2021-02-24,Delisting - Liquidation
NAGAROIL,INE453M01018,Nagarjuna Oil Refinery Limited,Main Board,2021-02-24,Delisting - Liquidation
BABAFOOD,INE672X01010,Baba Agro Food Limited,SME,2021-03-05,Voluntary Delisting
GTNIND,INE537A01013,"GTN Industries
Limited",Main Board,2021-03-22,Voluntary Delisting
GLOBOFFS,INE446C01013,"Global
Offshore
Services
Limited",Main Board,2021-03-22,Voluntary Delisting
CNOVAPETRO,INE672K01025,CIL Nova Petrochemicals Limited,Main Board,2021-04-13,Voluntary Delisting
NOESISIND,INE141B01020,Noesis Industries Limited,Main Board,2021-04-22,Delisting - Liquidation
PETRONENGG,INE742A01019,Petron Engineering Construction Limited,Main Board,2021-04-22,Delisting - Liquidation
PRABHAT,INE302M01033,Prabhat Dairy Limited,Main Board,2021-04-30,Voluntary Delisting
JAIHINDPRO,INE343D01010,Jaihind Projects Limited,Main Board,2021-06-16,Voluntary Delisting
SANGHVIFOR,INE263L01013,Sanghvi Forging and Engineering Limited,Main Board,2021-06-17,Voluntary Delisting
HUSYSLTD,INE336T01010,Husys Consulting Limited,SME,2021-07-08,Voluntary Delisting
BSELINFRA,INE395A01016,BSEL Infrastructure Realty Limited,Main Board,2021-07-20,Voluntary Delisting
SICAGEN,INE176J01011,Sicagen India Limited,Main Board,2021-07-29,Voluntary Delisting
SUJANAUNI,INE216G01011,Sujana Universal Industries Limited,Main Board,2021-08-09,Voluntary Delisting
PARABDRUGS,INE618H01016,Parabolic Drugs Limited,Main Board,2021-08-11,Voluntary Delisting
ESSDEE,INE825H01017,Ess Dee Aluminium Limited,Main Board,2021-08-27,Compulsory Delisting
HIGHGROUND,INE361M01021,High Ground Enterprise Limited,Main Board,2021-08-27,Compulsory Delisting
SITASHREE,INE686I01011,Sita Shree Food Products Limited,Main Board,2021-08-27,Compulsory Delisting
SHLAKSHMI,INE851B01016,Shri Lakshmi Cotsyn Limited,Main Board,2021-08-27,Delisting - Liquidation
SRSLTD,INE219H01039,SRS Limited,Main Board,2021-08-27,Delisting - Liquidation
HINDSYNTEX,INE155B01012,Hind Syntex Limited,Main Board,2021-09-03,Compulsory Delisting
JVLAGRO,INE430G01026,JVL Agro Industries Limited,Main Board,2021-09-03,Delisting - Liquidation
GUJNRECOKE,INE110D01013,Gujarat NRE Coke Limited,Main Board,2021-09-24,Delisting - Liquidation
GUJNREDVR,IN9110D01011,Gujarat NRE Coke Limited,Main Board,2021-09-24,Delisting - Liquidation
AMTEKAUTO,INE130C01021,Amtek Auto Limited,Main Board,2021-09-27,Voluntary Delisting
ZODJRDMKJ,INE077B01018,Zodiac JRD- MKJ Limited,Main Board,2021-09-28,Voluntary Delisting
